name,sweet,sour,bitter,boozy,herbal,base_spirit,ingredients,instructions
Pisco Punch,8,7,1,7,2,Pisco,"60ml Pisco, 30ml Pineapple Juice, 15ml Lime Juice, 15ml Syrup",Shake with ice and strain into a glass.
Porto Flip,7,1,2,6,2,Port,"45ml Port Wine, 15ml Brandy, 1 Egg Yolk",Shake with ice and strain into a chilled glass. Garnish with nutmeg.
Red Snapper,3,5,4,7,6,Gin,"45ml Gin, 90ml Tomato Juice, 15ml Lemon Juice, Spices",Stir with ice and strain into glass. Like a Gin Bloody Mary.
Scorpion,7,7,1,9,3,Rum,"60ml White Rum, 30ml Brandy, 60ml Orange Juice, 45ml Lemon Juice, 15ml Orgeat Syrup",Shake with ice and strain into glass filled with ice.
Screwdriver,7,5,1,6,1,Vodka,"50ml Vodka, 100ml Orange Juice",Build in glass over ice and stir.
Tequila Sour,6,8,2,7,2,Tequila,"50ml Tequila, 25ml Lemon Juice, 15ml Agave Syrup, Egg White",Shake and strain into a chilled glass.
Tommy's Margarita,4,9,1,8,2,Tequila,"50ml Tequila, 25ml Lime Juice, 15ml Agave Syrup",Shake with ice and strain into ice-filled glass.
Trinidad Sour,5,7,10,7,9,Angostura,"45ml Angostura Bitters, 30ml Orgeat, 22ml Lemon Juice, 15ml Rye Whiskey",Shake with ice and strain into chilled glass.
Ward Eight,6,7,1,8,3,Whiskey,"60ml Rye Whiskey, 22ml Lemon Juice, 22ml Orange Juice, 1 tsp Grenadine",Shake with ice and strain into chilled glass.
Alabama Slammer,8,4,2,6,3,Mixed,"30ml Southern Comfort, 30ml Amaretto, 30ml Sloe Gin, 60ml Orange Juice",Shake with ice and strain into highball glass.
B-52,9,0,3,5,1,Liqueur,"15ml Kahlua, 15ml Baileys, 15ml Grand Marnier",Layer ingredients in a shot glass in the order given.
Bahama Mama,9,4,1,7,2,Rum,"15ml Dark Rum, 15ml Coconut Rum, 15ml Overproof Rum, 15ml Coffee Liqueur, Pineapple Juice, Lemon Juice",Shake with ice and strain into highball glass.
Barracuda,7,5,2,6,2,Rum,"45ml Gold Rum, 15ml Galliano, 60ml Pineapple Juice, dash Lime, Prosecco top",Shake all but prosecco. Strain and top with prosecco.
Black Velvet,3,2,6,4,4,Beer,"120ml Stout (Guinness), 120ml Champagne","Pour stout first, then gently layer champagne on top."
Buck's Fizz,7,5,1,4,1,Champagne,"100ml Champagne, 50ml Orange Juice",Build in glass and stir gently.
Caipiroska,7,8,2,8,2,Vodka,"50ml Vodka, Half a Lime, 2 tsp Sugar",Muddle lime and sugar. Add ice and vodka. Stir.
Cape Codder,6,8,3,5,1,Vodka,"45ml Vodka, 90ml Cranberry Juice",Build in highball glass over ice.
Chocolate Martini,10,0,2,6,1,Vodka,"45ml Vodka, 45ml Chocolate Liqueur",Shake with ice and strain into chilled glass.
Dirty Martini,1,4,4,10,4,Gin,"60ml Gin, 10ml Dry Vermouth, 10ml Olive Brine",Stir with ice and strain into chilled glass.
Dublin Iced Tea,7,6,2,9,4,Mixed,"15ml Whiskey, 15ml Rum, 15ml Gin, 15ml Triple Sec, Lemon Juice, Guinness top",Shake all but Guinness. Strain and top with Guinness.
Fuzzy Navel,9,4,1,4,1,Peach Schnapps,"30ml Peach Schnapps, 100ml Orange Juice",Build in glass over ice.
Golden Cadillac,9,0,2,5,5,Galliano,"22ml Galliano, 22ml Creme de Cacao (White), 22ml Cream",Shake with ice and strain into chilled glass.
Golden Dream,8,4,2,5,5,Galliano,"20ml Galliano, 20ml Triple Sec, 20ml Orange Juice, 10ml Cream",Shake with ice and strain into chilled glass.
Kamikaze,5,8,1,8,1,Vodka,"30ml Vodka, 30ml Triple Sec, 30ml Lime Juice",Shake with ice and strain into a glass.
Lemon Drop,8,8,0,8,1,Vodka,"30ml Vodka, 15ml Triple Sec, 15ml Lemon Juice",Shake with ice and strain into a shot glass.
Madras,8,7,2,5,1,Vodka,"45ml Vodka, 90ml Cranberry Juice, 30ml Orange Juice",Build in highball glass over ice.
Mezcal Negroni,4,1,9,10,9,Mezcal,"30ml Mezcal, 30ml Campari, 30ml Sweet Vermouth",Stir with ice and strain.
Painkiller,9,3,1,8,2,Rum,"60ml Dark Rum, 120ml Pineapple Juice, 30ml Orange Juice, 30ml Coconut Cream",Shake with ice and strain into tall glass. Nutmeg on top.
Pousse Cafe,10,0,2,5,4,Mixed,"Grenadine, Maraschino, Green Chartreuse, Cognac",Layer ingredients carefully based on density.
Queen's Park Swizzle,7,7,4,8,10,Rum,"60ml Dark Rum, 30ml Lime Juice, 22ml Simple Syrup, Mint Leaves, dashes Bitters",Swizzle in glass with crushed ice.
Russian Spring Punch,7,7,2,7,2,Vodka,"25ml Vodka, 25ml Lemon Juice, 15ml Creme de Cassis, 10ml Sugar, Sparkling Wine top",Shake all but wine. Strain and top with wine.
Sex on the Beach,9,4,1,5,1,Vodka,"40ml Vodka, 20ml Peach Schnapps, 40ml Orange Juice, 40ml Cranberry Juice",Build in glass over ice.
Sloe Gin Fizz,7,7,1,4,5,Sloe Gin,"45ml Sloe Gin, 30ml Lemon Juice, 15ml Syrup, Soda top",Shake all but soda. Strain and top with soda.
Tequini,2,1,3,10,3,Tequila,"60ml Tequila, 15ml Dry Vermouth",Stir with ice and strain into chilled glass.
Ti' Punch,5,6,2,9,6,Rhum Agricole,"60ml Rhum Agricole, 1 bar spoon Cane Syrup, Lime disc",Build in glass. Squeeze lime disc and stir gently.
Yellow Bird,7,4,2,8,5,Rum,"30ml White Rum, 15ml Galliano, 15ml Triple Sec, 15ml Lime Juice",Shake with ice and strain into chilled glass.
Appletini,8,7,1,7,1,Vodka,"45ml Vodka, 45ml Apple Juice/Schnapps, 1 dash Lemon Juice",Shake with ice and strain into chilled glass.
B-53,9,0,3,5,3,Mixed,"15ml Kahlua, 15ml Baileys, 15ml Absinthe",Layer in shot glass.
Blue Lagoon,7,8,1,6,1,Vodka,"30ml Vodka, 30ml Blue Curacao, Lemonade top",Build in glass over ice.
Cuba Libre Preparado,7,5,3,6,4,Rum,"Rum, Cola, Lime, dashes Bitters, Gin top",Build in glass.
Gin And Tonic,3,5,6,5,8,Gin,"50ml Gin, 120ml Tonic Water",Build in glass over ice. Garnish with lime.
Irish Mule,7,7,2,6,3,Whiskey,"45ml Irish Whiskey, Ginger Beer, Lime Juice",Build in mug over ice.
Lemon Drop Shot,8,9,0,7,1,Vodka,"30ml Vodka Citron, Lemon Wedge, Sugar",Drink shot then suck sugar-coated lemon.
Vodka Martini,1,1,3,10,1,Vodka,"60ml Vodka, 10ml Dry Vermouth",Stir with ice and strain into chilled glass.
